artist_name;track_name;release_date;genre;sadness;danceability;acousticness;topic;energy;track_id
mac miller;of the soul;2011;pop;0.0005159958940803;0.6057619408642911;0.6455819734758771;obscene;0.6996903206586632;t0
snoop dogg;young, wild & free (feat. bruno mars);2011;pop;0.000449842611212;0.7075706704213148;0.0527098922790083;obscene;0.6556449010219337;t1
lmfao;sorry for party rocking;2011;pop;0.0004244482287203;0.5830174374526157;0.0021375523469401;obscene;0.8778740637345229;t2
victorious cast;make it shine (victorious theme);2011;pop;0.0006119951529022;0.4963717101700423;0.0001365463218336;world/life;0.9339318705449058;t3
the decemberists;don't carry it all;2011;pop;0.0011198209104539;0.4682118488032059;0.0249990210833545;violence;0.8368317408912069;t4
young the giant;apartment;2011;pop;0.4987853424069135;0.5505252897216506;0.0068865530989488;sadness;0.7337254176506813;t5
a$ap rocky;purple swag;2011;pop;0.0010526315916407;0.5949312249539696;0.0458825761873254;obscene;0.5715581908063595;t6
the drums;days;2011;pop;0.001196172406257;0.5678544351781653;0.3704812956639515;world/life;0.7217130304770278;t7
tune-yards;powa;2011;pop;0.0372670044899105;0.7487273908805373;0.6797185539342913;violence;0.3152939311017521;t8
sleeping at last;turning page;2011;pop;0.001644736994471;0.2624282465070941;0.9156625659262712;world/life;0.3793599960279039;t9
benjamin francis leftwich;atlas hands;2011;pop;0.001012145796422;0.6241741579118381;0.8925701732632263;world/life;0.3082867052504542;t10
blind pilot;three rounds and a sound;2011;pop;0.0006265664493961;0.6165926567746128;0.8875500879016948;violence;0.3092877375149253;t11
falling in reverse;raised by wolves;2011;pop;0.3229523177525875;0.3317448283331528;0.0347379866847255;violence;0.8718678701476962;t12
the head and the heart;winter song;2011;pop;0.0570079651060132;0.5180331419906856;0.8403612855032989;night/time;0.2532299307045424;t13
yelawolf;let's roll;2011;pop;0.0004657662473583;0.6198418715477094;0.0003885546069825;obscene;0.7757687727584685;t14
beach fossils;what a pleasure;2011;pop;0.1713566188622905;0.4996209249431388;0.0001757029876536;world/life;0.9389370318672614;t15
lykke li;i follow rivers;2011;pop;0.0009233610517245;0.5819343658615834;0.476907105328419;violence;0.5335189647564568;t16
big time rush;if i ruled the world;2011;pop;0.0004498425677022;0.6523340192786744;0.0166656793832122;obscene;0.7857790954031797;t17
real estate;it's real;2011;pop;0.0023923446209387;0.3869814794757933;0.0093162744139301;feelings;0.8568523861806293;t18
travis barker;let's go;2011;pop;0.0005370569736658;0.7108198851944114;0.1285131812381337;obscene;0.9099070961975988;t19
bon iver;perth;2011;pop;0.0025062659656293;0.4400519874363695;0.8584335928048121;violence;0.4534363835987669;t20
florence + the machine;seven devils;2011;pop;0.0216134493414043;0.3479909021986353;0.0111435854855275;violence;0.8248193537175535;t21
lady gaga;marry the night;2011;pop;0.0005783690262484;0.598180439727066;0.0010431737381262;night/time;0.8798761282634652;t22
childish gambino;you see me;2011;pop;0.0005370569552414;0.6609985920069318;0.0481918154536299;obscene;0.8047987084281311;t23
forever the sickest kids;bipolar baby!;2011;pop;0.2204375064776307;0.572186721542294;0.0053905676612125;night/time;0.8428379344780338;t24
flo rida;good feeling;2011;pop;0.0497590721263262;0.6978230261020254;0.0590351998345379;feelings;0.8908874831726475;t25
demi lovato;fix a heart;2011;pop;0.3479364486438118;0.2938373226470269;0.564256590619067;sadness;0.4694528998303049;t26
big sean;dance (a$$) remix;2011;pop;0.0005599104403879;0.785551824975631;0.0277098671785815;obscene;0.730722320857268;t27
beyoncé;i was here;2011;pop;0.0750010415329784;0.4855409942597206;0.4327303541469419;world/life;0.6276159976167424;t28
lil wayne;nightmares of the bottom;2011;pop;0.0004385965179363;0.8104624715693709;0.0095672786820067;obscene;0.5775643843931862;t29
rihanna;we found love;2011;pop;0.4591729723053659;0.7281490306509262;0.0250994227905851;sadness;0.7667594823782282;t30
paramore;monster;2011;pop;0.0617650961623489;0.3804830499296003;2.781127290288444e-05;world/life;0.9699690320658664;t31
j. cole;cole world;2011;pop;0.0003927730108705;0.6859092386006715;0.0013744993719873;obscene;0.7687615469071706;t32
dom kennedy;when i come around;2011;pop;0.0004017677943161;0.8147947579334995;0.0257018330339689;obscene;0.568555094012946;t33
drake;buried alive interlude;2011;pop;0.0476328515625414;0.7032383840571862;0.4136540297731223;obscene;0.543529287401168;t34
childish gambino;sunrise;2011;pop;0.0006578947739017;0.5245315715368787;0.0110431837782969;obscene;0.6956861916007786;t35
craft spells;after the moment;2011;pop;0.0007518797373471;0.5927650817719051;0.0264046449845833;romantic;0.8748709669411097;t36
avril lavigne;wish you were here;2011;pop;0.1426763159488406;0.4248889851619192;0.0324287474184211;obscene;0.8658616765608694;t37
mike posner;bow chicka wow wow;2011;pop;0.0670594733874853;0.611177298819452;0.3192764249763303;obscene;0.6706603849890006;t38
bon iver;towers;2011;pop;0.0018148821735509;0.3122495396945738;0.9487951293123787;violence;0.3343135441267033;t39
death cab for cutie;you are a tourist;2011;pop;0.2389734278787856;0.5494422181306184;0.0002540163192934;world/life;0.8728689024121673;t40
simon curtis;pit of vipers;2011;pop;0.4129591123223486;0.7248998158778296;0.2831318103733036;sadness;0.6296180621456846;t41
christina perri;the lonely;2011;pop;0.50358992983462;0.1898624499079389;0.5753007784144362;sadness;0.2692464469360804;t42
kelly clarkson;dark side;2011;pop;0.6873201423862471;0.5386115022202967;0.0994970878484817;sadness;0.8608565152385138;t43
go radio;rolling in the deep;2011;pop;0.4371650193560136;0.5266977147189429;0.0027098420781546;sadness;0.7827759986097663;t44
bon iver;calgary;2011;pop;0.0012239903218572;0.4833748510776563;0.9267067537216404;violence;0.4664498030368916;t45
breathe carolina;blackout;2011;pop;0.0006835270486889;0.6501678760966101;0.0053905676612125;obscene;0.8198141923951979;t46
jai paul;btstu (edit);2011;pop;0.0221445767214376;0.6534170908697066;0.7479917148511194;night/time;0.3893703186726151;t47
mac miller;frick park market;2011;pop;0.0004873294764861;0.5754359363153905;0.0225893801098193;obscene;0.8098038697504867;t48
wiz khalifa;hopes & dreams;2011;pop;0.0511872831646719;0.6220080147297737;0.1375493348888904;obscene;0.6316201266746269;t49
ben howard;the wolves;2011;pop;0.2278814672793526;0.4562980613018521;0.2730916396502406;violence;0.543529287401168;t50
kendrick lamar;hol' up;2011;pop;0.0005425936170718;0.5905989385898408;0.784136329454146;obscene;0.869865805618754;t51
lil wayne;how to hate;2011;pop;0.0003331112944421;0.3685692624282465;0.2228907860349257;obscene;0.7547470952045748;t52
coldplay;hurts like heaven;2011;pop;0.2699544652314413;0.3869814794757933;0.0100391667059906;violence;0.7737667082295262;t53
a day to remember;sticks & bricks;2011;pop;0.3797240287358402;0.4368027726632731;4.628518703332032e-05;sadness;0.9809803869750484;t54
hollywood undead;hear me now;2011;pop;0.0015479876908978;0.4281381999350158;0.0001997993973889;world/life;0.8388338054201492;t55
sleeping with sirens;f**k you;2011;pop;0.0015479876870394;0.4292212715260479;0.0009979929698724;world/life;0.9559545803632704;t56
will.i.am;hot wings (i wanna party);2011;pop;0.0008097166117685;0.7259828874688617;0.0096877607306834;obscene;0.697688256129721;t57
mandisa;good morning;2011;pop;0.0004699248705933;0.798548684068017;0.0609428322719199;feelings;0.8838802573213497;t58
jesse & joy;la de la mala suerte;2011;pop;0.0175438596491234;0.5234484999458465;0.0382520464377976;violence;0.4664498030368916;t59
rise against;make it stop (september's children);2011;pop;0.1892534137755711;0.3739846203834074;0.0005793178507207;violence;0.9759752256526928;t60
selena gomez;shake it up;2011;pop;0.0006265664330617;0.7378966749702156;0.0426697215559453;obscene;0.7987925148413042;t61
the crystals;then he kissed me;2011;pop;0.0609508835995691;0.3999783385681794;0.702810946597336;romantic;0.6786686431047695;t62
wiz khalifa;wake up;2011;pop;0.0003654970917522;0.7173183147406045;0.4277102687854104;obscene;0.5865736747734263;t63
birdy;people help the people;2011;pop;0.2469279632156918;0.3739846203834074;0.7811242782372273;violence;0.3082867052504542;t64
rihanna;where have you been;2011;pop;0.001012145827891;0.7119029567854437;0.0020170702982633;world/life;0.8478430958003893;t65
jason walker;echo;2011;pop;0.000809716650749;0.3696523340192786;0.6666663319943094;violence;0.4504332868053536;t66
wale;that way (feat. jeremih & rick ross);2011;pop;0.0058479533323296;0.6729123795082855;0.0380512430233363;obscene;0.6916820625428941;t67
snoop dogg;french inhale (feat. mike posner);2011;pop;0.0012531328743201;0.6198418715477094;0.1375493348888904;obscene;0.8628585797674561;t68
lil wayne;she will;2011;pop;0.0004177109622198;0.3274125419690242;0.0004026108459948;obscene;0.8418369022135626;t69
avicii;levels;2011;pop;0.0035087719516968;0.5819343658615834;0.0071074368548562;feelings;0.917915354313368;t70
bon iver;minnesota, wi;2011;pop;0.3746282077394113;0.5429437885844254;0.9718875219754236;sadness;0.3463259313003569;t71
the civil wars;barton hollow;2011;pop;0.2094859589994582;0.3696523340192786;0.1234930958766023;violence;0.6596490300798182;t72
flatsound;my heart goes bum bum bum;2011;pop;0.089674535499009;0.3425755442434745;0.1987943762995746;violence;0.4173992220778066;t73
phantogram;don't move;2011;pop;0.0379805250826496;0.5375284306292646;7.11848104265165e-05;violence;0.6426314815838092;t74
jessie j;price tag;2011;pop;0.000365497103982;0.6241741579118381;0.0282118757147346;obscene;0.8318265795688513;t75
demi lovato;give your heart a break;2011;pop;0.6487303632107309;0.6295895158669989;0.2369470250472139;sadness;0.6956861916007786;t76
lady gaga;the edge of glory;2011;pop;0.0004537205414782;0.5624390772230045;0.0003433738387287;violence;0.7727656759650551;t77
ben howard;only love;2011;pop;0.5255837173970709;0.5234484999458465;0.3012041176748169;sadness;0.4854694160618428;t78
the oh hellos;hello my old heart;2011;pop;0.3625934708431705;0.5364453590382325;0.6265056491020574;sadness;0.2992774148702141;t79
eli young band;even if it breaks your heart;2011;pop;0.2807400673246144;0.6555832340517709;0.0001586346974243;music;0.5275127711696301;t80
drake;crew love;2011;pop;0.0005980861520502;0.3858984078847612;0.2279108713964572;obscene;0.5465323841945815;t81
mac miller;donald trump;2011;pop;0.0004965243444011;0.6220080147297737;0.1194770275873771;obscene;0.9018988380818298;t82
j. cole;nobody's perfect;2011;pop;0.0005847953481352;0.7920502545218239;0.097790258825561;obscene;0.4984828354999674;t83
ed sheeran;the a team;2011;pop;0.0005159958934097;0.6285064442759667;0.6716864173558409;violence;0.2892670922255028;t84
alexandra stan;mr. saxobeat;2011;pop;0.0005847953246202;0.7032383840571862;0.0239950040110482;music;0.9289267092225502;t85
falling in reverse;the drug in me is you;2011;pop;0.0005159959047324;0.5266977147189429;0.0149588503602915;violence;0.8558513539161582;t86
wiz khalifa;no sleep;2011;pop;0.000326904227235;0.6404202317773205;0.1094368568643141;obscene;0.7117027078323166;t87
christina perri;jar of hearts;2011;pop;0.3971603613678015;0.3111664681035416;0.7289153904772997;sadness;0.3483279958292991;t88
nicki minaj;starships;2011;pop;0.0006191950683932;0.7422289613343442;0.1355413007442778;obscene;0.7167078691546722;t89
the head and the heart;rivers and roads;2011;pop;0.0689533788083142;0.4682118488032059;0.7018069295250298;obscene;0.1941690271007462;t90
david guetta;titanium (feat. sia);2011;pop;0.3628197024187662;0.5819343658615834;0.0692761739720622;violence;0.8037976761636598;t91
drake;marvins room;2011;pop;0.0003395585826526;0.4660457056211416;0.6485940246927959;obscene;0.2602371565558403;t92
foster the people;pumped up kicks;2011;pop;0.0005599104286841;0.7270659590598939;0.1455814714673408;obscene;0.7107016755678455;t93
